task,explained_output,rank,modality,feature,mean_abs_shap,mean_shap,feature_shap_correlation,direction
pam50,Luminal A,20,genomic,TMEM45B,0.042782618017461936,0.009017905638702544,-0.5394303170061792,higher feature value decreases the output
pam50,Luminal B,1,genomic,ESR1,0.4675798748118073,-0.08060723155883051,0.932379091485362,higher feature value increases the output
pam50,Luminal B,2,genomic,FOXC1,0.38694354366625683,-0.04095781792274173,-0.8887601344472432,higher feature value decreases the output
pam50,Luminal B,3,genomic,CEP55,0.09455951967886157,-0.005267943887860711,0.7449829621092103,higher feature value increases the output
pam50,Luminal B,4,genomic,KRT17,0.07550706367228252,-0.01089175580364891,-0.708274720690159,higher feature value decreases the output
pam50,Luminal B,5,genomic,CDH3,0.07305316859543705,-0.018574013201303214,-0.7637159945071611,higher feature value decreases the output
pam50,Luminal B,6,clinical,age,0.06353312648929345,0.0032038118809104305,0.754952016848229,higher feature value increases the output
pam50,Luminal B,7,genomic,ANLN,0.053142611862895324,-0.006781921518745087,0.20876551486521047,higher feature value increases the output
pam50,Luminal B,8,genomic,MAPT,0.05159300291956347,0.004120026690589131,0.0563651404752094,mixed (no consistent direction across patients)
pam50,Luminal B,9,genomic,CDC6,0.04581932653720203,0.0007596874811816269,0.6596706661449174,higher feature value increases the output
pam50,Luminal B,10,genomic,ERBB2,0.04419974300215764,-0.0006218788766197158,-0.6140191186497882,higher feature value decreases the output
pam50,Luminal B,11,genomic,NAT1,0.0440294931986565,-0.007350555949131015,0.5063224141489815,higher feature value increases the output
pam50,Luminal B,12,genomic,MLPH,0.043009435841468054,-0.0029391517148508366,0.8331218144708646,higher feature value increases the output
pam50,Luminal B,13,genomic,CCNB1,0.0402126715370061,-0.00522349951279377,0.7583635900432537,higher feature value increases the output
pam50,Luminal B,14,clinical,nodal_N0,0.03994643738255119,-0.004742374481914975,-0.7148533182968543,higher feature value decreases the output
pam50,Luminal B,15,genomic,CCNE1,0.0397907855510025,-0.008075243866112818,-0.7467496052512661,higher feature value decreases the output
pam50,Luminal B,16,clinical,nodal_N1,0.03207167479337311,-0.0013771768881727497,0.9349351045191007,higher feature value increases the output
pam50,Luminal B,17,clinical,nodal_N2,0.030341396007118975,7.543518147410569e-05,-0.8658880844193184,higher feature value decreases the output
pam50,Luminal B,18,genomic,FGFR4,0.029847550861685,-0.006784584648754071,-0.4875240003753486,higher feature value decreases the output
pam50,Luminal B,19,genomic,GRB7,0.028987791570219863,0.005018384612658361,0.4723034354725298,higher feature value increases the output
pam50,Luminal B,20,clinical,stage_I,0.02786389818665841,0.0011433185238955196,0.9224552036638962,higher feature value increases the output
pam50,HER2-enriched,1,genomic,ESR1,0.32702096894878785,0.05335257497143652,-0.9102175239280454,higher feature value decreases the output
pam50,HER2-enriched,2,genomic,ANLN,0.17455259027858944,0.015839126236172448,0.7216225959197642,higher feature value increases the output
pam50,HER2-enriched,3,genomic,MAPT,0.15638239246448388,0.04117447948584784,-0.8633065590571587,higher feature value decreases the output
pam50,HER2-enriched,4,genomic,CEP55,0.12571486894756156,-0.008173291300646346,0.8769420619402175,higher feature value increases the output
pam50,HER2-enriched,5,genomic,CDC6,0.12177189460070721,0.012566382534150537,0.8555672293125329,higher feature value increases the output
pam50,HER2-enriched,6,genomic,NAT1,0.11910739512206846,0.015616181762224485,-0.88317828891494,higher feature value decreases the output
pam50,HER2-enriched,7,genomic,FOXC1,0.10430794461623519,0.00913915142197797,-0.5125431764374653,higher feature value decreases the output
pam50,HER2-enriched,8,genomic,ERBB2,0.07565362235472543,0.004612426855353002,0.7175932417586334,higher feature value increases the output
pam50,HER2-enriched,9,clinical,age,0.0712629880381204,-0.01395241220244082,-0.1361922212570486,higher feature value decreases the output
pam50,HER2-enriched,10,genomic,RRM2,0.0710753377712634,0.00404221786612654,0.7850876267633993,higher feature value increases the output
pam50,HER2-enriched,11,genomic,KRT17,0.06940123767876429,-0.017755260735043854,-0.6926541040239511,higher feature value decreases the output
pam50,HER2-enriched,12,genomic,CXXC5,0.06872020926377811,-0.0010281187133803068,-0.7581101666673177,higher feature value decreases the output
pam50,HER2-enriched,13,genomic,CENPF,0.06608285968311663,-0.007230114112813667,0.654646477716908,higher feature value increases the output
