task,modality,feature,mean_abs_shap,rank
her2,genomic,MDM2,0.003653260458028222,48
her2,clinical,stage_IV,0.003531040645464632,49
her2,clinical,nodal_N3,0.0034864776585684914,50
her2,genomic,ORC6L,0.003318277576544358,51
her2,genomic,NUF2,0.003047645706785356,52
her2,genomic,KIF2C,0.003036529055809401,53
her2,genomic,UBE2T,0.002994294511276473,54
her2,genomic,TYMS,0.0028235044248291095,55
her2,genomic,NDC80,0.0027899865852654606,56
her2,genomic,MMP11,0.002651253693931152,57
her2,genomic,PTTG1,0.002460169535130209,58
her2,genomic,FOXA1,0.002309194238688035,59
her2,clinical,stage_Unknown,0.0018254611199120683,60
her2,clinical,nodal_Unknown,0.0008801010383863814,61
her2,clinical,sex_male,0.0006234229410005844,62
pam50,genomic,ESR1,0.3774589622975213,1
pam50,genomic,FOXC1,0.29126767698986583,2
pam50,genomic,CEP55,0.09553229895467166,3
pam50,genomic,ANLN,0.08930172737692177,4
pam50,genomic,MAPT,0.08462086155399799,5
pam50,genomic,NAT1,0.06782535537667436,6
pam50,genomic,CDC6,0.06552366371450077,7
pam50,genomic,KRT17,0.06006566421426838,8
pam50,clinical,age,0.05858040914518496,9
pam50,genomic,CDH3,0.055655973273154344,10
pam50,genomic,ERBB2,0.05067020356225591,11
pam50,genomic,RRM2,0.04226923259330986,12
pam50,genomic,CCNE1,0.042194796758227564,13
pam50,clinical,nodal_N2,0.04205290305314129,14
pam50,genomic,CCNB1,0.041086165872490484,15
pam50,clinical,nodal_N0,0.04004650852879919,16
pam50,genomic,MLPH,0.03967817142093796,17
pam50,genomic,CXXC5,0.03805229182527991,18
pam50,genomic,CENPF,0.03721688580735009,19
pam50,genomic,PHGDH,0.03448000651707906,20
pam50,genomic,GRB7,0.03424589000270295,21
pam50,clinical,stage_I,0.02767437757760488,22
pam50,genomic,TMEM45B,0.026849364913126967,23
pam50,genomic,EXO1,0.026778914539582248,24
pam50,genomic,FGFR4,0.026273553570913,25
pam50,clinical,stage_III,0.026187049118539106,26
pam50,clinical,stage_II,0.024718405207306043,27
